WORK_TIME,FAMILY_INCOME,PERSONAL_INCOME,CREDIT,TERM,FST_PAYMENT,AGREEMENT_RK,TARGET,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
18.0,от 10000 до 20000 руб.,5000.0,8000.0,6,8650.0,59910150,0,49,1,Среднее специальное,Состою в браке,2,1,1,0,0,0,1,1
97.0,от 10000 до 20000 руб.,12000.0,21650.0,6,4000.0,59910230,0,32,1,Среднее,Состою в браке,3,3,1,0,0,0,1,1
84.0,от 10000 до 20000 руб.,9000.0,33126.0,12,4000.0,59910525,0,52,1,Неполное среднее,Состою в браке,4,0,1,0,0,0,2,1
168.0,от 20000 до 50000 руб.,25000.0,8491.82,6,5000.0,59910803,0,39,1,Высшее,Состою в браке,1,1,1,0,1,0,1,1
101.0,от 10000 до 20000 руб.,12000.0,21990.0,12,4000.0,59911781,0,30,0,Среднее,Состою в браке,0,0,1,0,0,0,2,1
40.0,от 20000 до 50000 руб.,12000.0,30615.0,12,3500.0,59911784,0,29,0,Среднее,Гражданский брак,0,0,1,0,0,1,2,1
6.0,от 20000 до 50000 руб.,15000.0,10450.0,3,15000.0,59911832,0,35,0,Высшее,Разведен(а),1,1,1,0,1,0,2,2
6.0,от 10000 до 20000 руб.,6000.0,15035.0,10,465.0,59912034,0,41,1,Среднее,Состою в браке,0,0,1,0,1,0,2,1
156.0,свыше 50000 руб.,100000.0,32914.31,4,29080.92,59912560,0,53,0,Высшее,Состою в браке,2,0,1,0,0,0,1,1
72.0,от 10000 до 20000 руб.,7000.0,4440.0,6,540.0,59912659,0,43,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,1,1
120.0,от 20000 до 50000 руб.,19000.0,5160.0,3,600.0,59912692,0,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,1,0,1,1
27.0,от 10000 до 20000 руб.,18000.0,11751.0,4,8389.0,59913108,1,26,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,2,1
48.0,от 10000 до 20000 руб.,7000.0,11160.0,3,2790.0,59913134,1,62,0,Среднее,Гражданский брак,3,0,0,1,0,1,1,1
72.0,от 10000 до 20000 руб.,12000.0,5770.0,9,1020.0,59913205,0,45,1,Среднее специальное,Разведен(а),3,1,1,0,0,0,1,1
120.0,от 20000 до 50000 руб.,20000.0,14513.0,5,1462.0,59913395,0,38,1,Высшее,Состою в браке,0,1,1,0,0,0,2,1
168.0,свыше 50000 руб.,60000.0,79910.0,5,19990.0,59913542,1,41,1,Высшее,Разведен(а),0,0,1,0,1,0,1,1
8.0,от 10000 до 20000 руб.,5200.0,3400.0,6,2000.0,59913652,0,29,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
13.0,свыше 50000 руб.,35000.0,7290.0,6,1300.0,59913736,1,34,0,Среднее,Гражданский брак,0,0,1,0,0,0,1,1
